Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Pressure_Score,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,CA,2017,12,Male,16,Ambidextrous,81,27,180,3,Bus,10,0.358,60,Basketball,1000,1000,1000,1000,1000,1000,26,Right foot,10,10,Same length,October,Summer,No,No,Rice/Noodle dishes,Soft drink (caffeinated),Physical education,8,10,5,Yes - broadband connection,,500,500,5,2,0,0,5,1,1,1,1,1,0,1,A lot,4,Graduate degree,Rap/Hip hop,Invisibility,Rich,Sports person,"Arts, culture, sports"
USA,CA,2019,12,Female,17,Right-Handed,157,22,147,1,Car,7,0.329,62,Other,700,100,300,250,1000,1000,23,Left foot,70,75,Ring finger,November,Winter,No,No,Meat,Water,Art,7,11,4,Yes - other,Text messaging,100,120,7,0,10,5,6,0,4,3,7,2,0,2,A lot,4,Graduate degree,Pop,Freeze time,Rich,Relative,"Wildlife, animals"
USA,CA,2018,9,Male,14,Right-Handed,174,26,175,3,Car,8,0.3,32,Other,652,749,898,781,1000,1000,26,Same length,75,90,Ring finger,March,Summer,Yes,No,Meat,Water,Music,6,7,3,Yes - other,"Myspace, Facebook, other social networking sites, or blog",29,300,10,0,30,2,50,5,10,1,70,0,1,0,A lot,4,Graduate degree,Techno/Electronic,Telepathy,Rich,Other,Religious
USA,CA,2020,12,Male,17,Right-Handed,177,25,175,2,Car,10,0.344,26,Other,914,807,658,882,412,818,25,Same length,75,80,Ring finger,January,Winter,No,No,Rice/Noodle dishes,Water,Mathematics and statistics,8,10,5,Yes - broadband connection,Other,100,100,10,1,5,10,5,25,20,25,30,0,0,5,Very little,2,Graduate degree,Rap/Hip hop,Freeze time,Rich,Business person,Environment
USA,CA,2019,12,Male,16,Right-Handed,181,31,183,2,Walk,15,0.335,49,Lacrosse,500,500,500,700,1000,1000,31,Same length,8.5,8.3,Index finger,June,Winter,No,No,Meat,Water,Science,7,8,4,Yes - other,Internet chat or instant messaging,3,34,10,1,35,5,5,1,10,1,40,0,0,1,A lot,4,Graduate degree,Reggae,Telepathy,Rich,Doctor or nurse,International aid
USA,CA,2016,11,Female,16,Right-Handed,165,26,170,1,Car,4,0.34,50,Swimming,1000,1000,1000,503,310,0,27,Left foot,70,65,Index finger,September,Winter,No,No,Pizza/Pasta,Water,Science,8,14,4,,Text messaging,150,210,30,9,10,40,20,5,15,15,20,5,20,20,A lot,4,Graduate degree,Other,Freeze time,Happy,Relative,Education/Youth development
USA,CA,2016,11,Female,15,Right-Handed,166,17,162,2,Car,10,,,Other,,,,,,,17,Same length,64,75,Ring finger,April,Winter,No,No,Fruit,Juice,Music,5,6,5,Yes - other,Text messaging,116,206,120,7,168,5,2,2,17,145,156,132,16,9,A lot,4,Graduate degree,Pop,Freeze time,Happy,Doctor or nurse,International aid
USA,CA,2017,12,Male,17,Right-Handed,177,29,187,2,Car,10,0.299,80,Baseball/Softball,1000,500,750,750,750,750,28,Right foot,80,80,Same length,June,Spring,No,No,Meat,Sports drink,Other,7,7,4,No internet connection,Internet chat or instant messaging,50,50,10,10,3,10,7,0,3,3,0,0,3,3,A lot,4,Graduate degree,Rap/Hip hop,Freeze time,Rich,Relative,International aid
USA,CA,2017,12,Male,17,Right-Handed,173.5,24,173,2,Car,2,0.306,42,Soccer,1000,1000,1000,540,321,342,25,Left foot,79,77,Index finger,April,Winter,Yes,No,Rice/Noodle dishes,Water,History,6,8,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",6,12,3,1,18,2,10,0,5,1,2,2,0,1,A lot,4,Graduate degree,Rap/Hip hop,Fly,Famous,Relative,"Wildlife, animals"
USA,CA,2020,11,Male,16,Right-Handed,180,28,184,3,Car,25,0.388,69,Football (American),800,600,800,700,500,500,26,Same length,8,8.3,Ring finger,April,Spring,No,No,Breads/Sandwiches,Water,Computers and technology,6,10,5,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",5,10,24,2,10,48,28,12,8,1,1,2,16,14,Some,3,Graduate degree,Rap/Hip hop,Freeze time,Healthy,Politician,Health
USA,CA,2017,12,Female,17,Right-Handed,165.1,23,160,2,Bus,60,1.643,44,Basketball,700,800,900,1000,10,10,26,Left foot,85,65,Index finger,September,Winter,No,No,No favorite,Water,Mathematics and statistics,6,7,8,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",20,20,5,0,5,2,1,2,5,0,2,0,0,1,Some,3,Graduate degree,Rap/Hip hop,Fly,Happy,Relative,International aid
USA,CA,2012,10,Male,16,Right-Handed,172.7,25.4,170.2,3,Car,15,0.214,46,Other,300,100,200,600,1000,1000,25.4,Same length,80,75,Index finger,December,Summer,No,No,Meat,Juice,Mathematics and statistics,3,14,5,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",50,50,20,1,30,2,7,3,10,5,30,1,0,0,Some,3,Graduate degree,Other,Fly,Happy,Religious figure,International aid
USA,CA,2021,12,Male,17,Right-Handed,170,25,169,3,Walk,5,0.407,40,Football (American),800,750,800,600,900,900,25,Same length,100,109,Ring finger,December,Fall,Yes,No,Meat,Water,Physical education,8,8,4,Yes - broadband connection,Text messaging,95,101,5,1,5,2,1,1,8,7,10,9,0,2,Some,3,Graduate degree,Rap/Hip hop,Freeze time,Healthy,Sports person,Health
USA,CA,2016,11,Female,15,Left-Handed,163,25,170,2,Car,10,,,Other,1000,1000,1000,1000,1000,1000,30,Left foot,9,9,Index finger,November,Fall,Yes,No,Meat,Water,Science,2,10000,2,Yes - other,Text messaging,2,10001,2,0,100,50,0,4,4,2,168,6,10,1,A lot,4,Other,Other,,Happy,Business person,"Wildlife, animals"
USA,CA,2015,12,Female,15,Right-Handed,152,23,151,1,Walk,12,0.36,45,Football (American),810,850,910,800,545,620,24,Left foot,70,78,Ring finger,August,Winter,No,No,Rice/Noodle dishes,Water,English,6,10,3,Yes - broadband connection,Text messaging,17,20,7,1,26,9,7,0,4,3,11,0,0,8,A lot,4,Graduate degree,Other,Freeze time,Rich,Doctor or nurse,Education/Youth development
USA,CA,2021,11,Male,17,Right-Handed,167,26,63,2,Walk,6,0.257,30,Football (American),86,176,283,610,738,1000,26,Same length,90,100,Ring finger,September,Winter,No,No,Meat,Soft drink (non-caffeinated),History,8,11,9,Yes - broadband connection,Text messaging,5,5,7,2,6,9,7,12,16,14,125,2,0,10,Some,3,Graduate degree,Reggae,Invisibility,Rich,Business person,"Wildlife, animals"
USA,CA,2021,12,Female,16,Right-Handed,167,23,69,2,Car,7,0.477,55,Lacrosse,540,412,139,182,308,1000,23,Same length,6.5,5.5,Index finger,December,Winter,Yes,No,Seafood,Water,Other,6,9,4,Yes - other,Text messaging,20,30,30,21,20,12,6,0,12,8,20,0,15,3,A lot,4,Graduate degree,Rap/Hip hop,Telepathy,Famous,Other,Education/Youth development
USA,CA,2021,12,Female,17,Right-Handed,162.5,22.86,168.9,1,Car,5,0.348,35,Walking/Hiking,1000,636,594,904,299,647,22.86,Same length,72,95,Ring finger,July,Winter,Yes,No,Fruit,Water,Science,7,9,4,Yes - broadband connection,Text messaging,200,200,5,24,2,4,5,0,14,8,60,5,20,3,Very little,2,Graduate degree,Rap/Hip hop,Telepathy,Happy,Relative,Environment
USA,CA,2016,9,Female,15,Left-Handed,152,23,151,2,Car,7,0.45,35,Golf,1000,1000,1000,1000,503,904,23,Same length,87,91,Ring finger,June,Summer,Yes,No,No favorite,Juice,Science,6,4,5,Yes - other,Text messaging,150,160,9,1,1,1,3,1,1,24,1,24,0,1,Some,3,Graduate degree,Pop,Telepathy,Happy,Relative,Health
USA,CA,2019,9,Male,14,Right-Handed,148,25,154,1,Car,30,0.351,32,Baseball/Softball,1000,1000,1000,1000,850,1000,25,Same length,75,70,Index finger,November,Fall,Yes,No,Rice/Noodle dishes,Water,Mathematics and statistics,8,7,6,Yes - other,In person,2,2,26,1,21,15,5,55,5,1,42,20,0,3,A lot,4,Graduate degree,Heavy metal,Freeze time,Rich,Relative,Education/Youth development
USA,CA,2015,11,Female,16,Right-Handed,165.1,9.5,66,2,Car,10,0.568,58,Walking/Hiking,524,840,1000,695,1000,1000,9.5,Same length,4,3,Ring finger,December,Winter,Yes,No,Pizza/Pasta,Water,Art,7,8,5,Yes - other,Text messaging,500,550,6,0,14,7,5,0,14,21,21,7,0,7,A lot,4,Graduate degree,Pop,Invisibility,Happy,Musician or singer,"Wildlife, animals"
USA,CA,2014,12,Female,17,Right-Handed,156,24,150,2,Car,10,1.014,65,Walking/Hiking,1000,800,500,850,500,950,24,Same length,750,800,Ring finger,August,Summer,No,No,Pizza/Pasta,Juice,Art,8,10,4,Yes - broadband connection,Text messaging,100,100,10,1,2,30,1,0,5,5,69,5,5,0,Some,3,Graduate degree,Punk rock,Telepathy,Rich,Relative,Environment
USA,CA,2017,12,Male,18,Ambidextrous,169.8,64,66,3,Rail (Train/Tram/Subway),90,0.676,68,Martial Arts,,,,,,,64,Same length,100,90,Index finger,September,Winter,No,No,Pizza/Pasta,Soft drink (non-caffeinated),Science,5,9,5,Yes - broadband connection,Internet chat or instant messaging,10,,,,,,,,,,,,,,,,,,,,,
USA,CA,2014,10,Male,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2021,12,Male,17,Right-Handed,171,26,169,2,Car,8,0.364,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2016,12,Male,17,Right-Handed,180,27,183,1,Car,13,0.326,40,Football (American),700,600,550,600,500,500,27,Same length,90,950,Ring finger,October,Winter,No,No,Meat,Water,Other,8,10,6,Yes - broadband connection,In person,5,5,6,0,5,3,15,10,0,0,20,0,0,0,Very little,2,Undergraduate degree,Rock and roll,Freeze time,Happy,Other,Health
USA,CA,2017,11,Male,17,Left-Handed,178,25,180,2,Car,15,0.236,36,Hockey (Ice),1000,883,1000,783,1000,1000,25,Same length,8.7,9,Ring finger,April,Winter,Yes,No,Meat,Water,Science,6,8,3,Yes - broadband connection,Internet chat or instant messaging,10,30,6,0,15,2,6,7,1,1,15,0,0,1,A lot,4,Graduate degree,Rap/Hip hop,Freeze time,Happy,Sports person,Education/Youth development
USA,CA,2015,12,Female,17,Right-Handed,162,23,160,2,Car,10,0.544,80,Dancing,800,1000,600,100,1000,1000,23,Same length,70,70,Same length,February,Winter,No,No,Breads/Sandwiches,Water,Other,8,10,4,Yes - broadband connection,,30,30,8,0,1,2,5,0,20,2,1,0,4,3,A lot,4,Graduate degree,Rap/Hip hop,Telepathy,Happy,Teacher,
USA,CA,2020,12,Male,16,Right-Handed,168,23,61,1,Car,20,0.54,32,Walking/Hiking,1000,250,1000,500,500,500,23,Same length,70,70,Same length,January,Spring,No,No,Seafood,Water,Science,4,9,3,Yes - broadband connection,Internet chat or instant messaging,1,2,15,1,20,5,1,1,10,1,30,0,0,2,A lot,4,Graduate degree,Classical,Fly,Healthy,Community leader or elder,International aid
USA,CA,2016,9,Female,15,Right-Handed,,,,2,Walk,5,0.667,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2020,12,Female,16,Right-Handed,160,23,138,2,Car,15,0.429,41,Soccer,1000,1000,1000,500,1000,1000,23,Same length,7,8,Index finger,November,Fall,No,No,Pizza/Pasta,Water,Science,7,9,5,Yes - broadband connection,Internet chat or instant messaging,1,2,0,1,4,14,3,12,10,1,13,1,0,2,A lot,4,Graduate degree,Rap/Hip hop,Telepathy,Rich,Musician or singer,"Wildlife, animals"
USA,CA,2016,11,Female,16,Left-Handed,175,25,167,2,Car,7,0.407,54,Athletics,1000,1000,797,278,112,797,25,Same length,89,88,Index finger,June,Fall,No,No,Other,Water,Other,7,9,3,Yes - broadband connection,Internet chat or instant messaging,50,50,7,2,4,4,5,7,6,1,2,8,0,6,A lot,4,Graduate degree,Other,Telepathy,Happy,Musician or singer,"Wildlife, animals"
USA,CA,2018,12,Male,18,Right-Handed,177.8,22.5,178,1,Car,10,0.404,54,Other,600,600,700,800,500,700,22.5,Same length,75,74.5,Ring finger,December,Summer,No,No,Meat,Water,English,7,10,5,Yes - broadband connection,Text messaging,10,10,8,0.5,5,2,4,0,8,10,15,0,0,1,Some,3,Undergraduate degree,Rock and roll,Freeze time,Famous,Musician or singer,Environment
USA,CA,2016,12,Male,17,Right-Handed,175,27,174,2,Walk,3,0.774,27,Soccer,1000,1000,1000,1000,1000,1000,27,Same length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2011,12,Male,17,Right-Handed,187.9,33,195.7,1,Car,6,0.47,58,Cycling,800,700,400,,500,700,33,Same length,17,18,Ring finger,April,Winter,No,No,Poultry,Water,Physical education,8,9,4,Yes - broadband connection,In person,6,11,6,1,8,5,10,8,20,2,20,15,7,4,,,,,,,,
USA,CA,2015,12,Female,17,Right-Handed,173,24,170,3,Car,18,0.381,41,Running/Jogging,882,310,706,444,626,727,22.7,Right foot,76.2,88.9,Ring finger,June,Winter,Yes,No,Vegetables,Coffee,Science,6,9,4,Yes - broadband connection,In person,28,29,3,1,20,3,20,0,5,5,10,3,0,2,A lot,4,Graduate degree,Techno/Electronic,Freeze time,Happy,Relative,Health
USA,CA,2021,12,Female,17,Right-Handed,127,8.8,162.9,1,Car,17.5,0.347,41,Dancing,1000,1000,1000,1000,214,497,8.8,Same length,7.4,7.6,Ring finger,February,Spring,Yes,No,Pizza/Pasta,Water,Other,9,7,5,Yes - other,Text messaging,,,12,9,8,2,6,1,15,13,3,2,1,2,Some,3,Graduate degree,Rhythm and blues (R&B),Telepathy,Healthy,Relative,Health
USA,CA,2021,12,Female,17,Right-Handed,165,24,174,2,Car,15,0.432,49,Basketball,300,100,400,100,400,800,25,Left foot,76,83,Ring finger,May,Winter,No,No,Pizza/Pasta,Coffee,Art,8,9,4,Yes - other,Text messaging,10,10,5,0,11,5,0,0,3,7,40,2,0,5,A lot,4,Graduate degree,Pop,Telepathy,Happy,Relative,"Arts, culture, sports"
USA,CA,2019,12,Male,17,Right-Handed,167,24.6,176.7,1,Car,10,0.714,44,Swimming,700,500,300,10,0,10,25.1,Left foot,100,110,Ring finger,February,Fall,Yes,No,No favorite,Water,History,8,7,4,Yes - other,Text messaging,,,20,0,10,5,14,10,20,8,10,0,14,5,Some,3,Graduate degree,Rap/Hip hop,,Happy,Relative,Health
USA,CA,2018,12,Female,17,Right-Handed,170,25,153,1,Car,10,0.28,48,Baseball/Softball,1000,1000,1000,1000,1000,1000,25,Same length,8,7,Index finger,June,Fall,No,No,Pizza/Pasta,Water,History,6,10,4,Yes - broadband connection,Text messaging,400,425,30,4,12,15,20,2,30,4,50,3,0,1,A lot,4,Graduate degree,Rap/Hip hop,Fly,Happy,Friend,"Wildlife, animals"
USA,CA,2015,12,Male,17,Right-Handed,172,24,150,2,Skateboard/Scooter/Rollerblade,35,0.435,58,Table Tennis,770,824,904,508,807,1000,25,Left foot,110,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2018,11,Female,15,Left-Handed,157,23,157,1,Car,5,0.425,35,None,880,487,503,806,600,834,23,Same length,76,72,Index finger,October,Fall,No,No,Desserts,Tea,Mathematics and statistics,7,7,3,Yes - broadband connection,In person,0,1,2,1,28,10,0,0,3,2,15,0,0,2,A lot,4,Graduate degree,Other,Invisibility,Happy,Relative,Health
USA,CA,2019,12,Female,18,Right-Handed,171,24.5,167,2,Car,70,0.337,31,Dancing,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2018,12,Female,17,Right-Handed,165,23,63,3,Car,5,0.343,32,Martial Arts,1000,807,1000,1000,428,711,23,Same length,72,76,Ring finger,December,Spring,Yes,No,Desserts,Water,Social studies,6,8,3,Yes - other,"Myspace, Facebook, other social networking sites, or blog",80,150,10,4,22,12,7,0,14,11,10,7,0,3,A lot,4,Graduate degree,Pop,Fly,Happy,Relative,International aid
USA,CA,2021,11,Male,18,Right-Handed,162.5,24,168,1,Car,10,0.291,43,Basketball,1000,999,200,998,400,978,24,Same length,8,8.5,Ring finger,April,Summer,No,No,Meat,Soft drink (caffeinated),Science,9,8,3,Yes - broadband connection,In person,10,20,59,3,0,20,3,40,80,7,4,3,20,0,Very little,2,Some college,Rap/Hip hop,Freeze time,Famous,Other,"Wildlife, animals"
USA,CA,2019,12,Male,17,Left-Handed,183,66,175,2,Bus,90,0.299,44,Athletics,968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2016,12,Female,17,Right-Handed,173,24,186,1,Walk,10,0.329,28,Dancing,1000,900,1000,1000,700,700,24,Left foot,7.9,8.1,Ring finger,May,Spring,Yes,No,Desserts,Water,Science,5,7,4,Yes - broadband connection,Internet chat or instant messaging,100,100,3,0,44,1,0,0,9,18,45,0,0,7,A lot,4,Graduate degree,Other,Freeze time,Healthy,Friend,Environment
USA,CA,2019,12,Female,17,Right-Handed,158,24,158,4,Car,30,0.354,35,Dancing,1000,861,1000,952,481,738,23,Right foot,64,70,Ring finger,October,Winter,Yes,No,No favorite,Tea,Music,7,9,4,Yes - broadband connection,Text messaging,80,80,10,6,10,4,0,0,10,3,15,0,0,2,A lot,4,Undergraduate degree,Rhythm and blues (R&B),Freeze time,Happy,Relative,Environment
USA,CA,2018,9,Male,14,Ambidextrous,220,26,168,1,Bicycle,10,0.389,35,None,0,1000,500,600,850,850,26,Same length,7,7,Same length,December,Winter,No,No,Seafood,Tea,History,7,3,4,Yes - broadband connection,In person,6,8,2,,,,,,,,,,,,,,,,,,,
USA,CA,2018,12,Male,17,Right-Handed,71,180,185,2,Car,8,0.623,63,Other,900,950,1000,800,1000,1000,28.7,Right foot,112,107,Index finger,February,Winter,Yes,No,Meat,Water,Computers and technology,7,8,3,Yes - broadband connection,Text messaging,28,27,3,3,2,1,0,12,5,6,12,0,0,0,Some,3,Graduate degree,Rap/Hip hop,Freeze time,Happy,Sports person,Environment
USA,CA,2021,12,Male,17,Right-Handed,180.3,27,174,1,Skateboard/Scooter/Rollerblade,15,0.217,55,Other,500,71,1000,420,0,1000,27,Same length,9.1,7.2,Index finger,December,Summer,No,No,Rice/Noodle dishes,Energy drink,Physical education,4,10,3,Yes - broadband connection,Text messaging,57,53,12,1,10,2,12,10,1,1,2,0,20.5,0,Some,3,Some college,Punk rock,Super strength,Happy,Business person,Other
USA,CA,2020,12,Female,17,Right-Handed,164,23,166,2,Car,19,0.382,33,Soccer,700,490,1000,800,600,1000,24,Left foot,72,69,Ring finger,January,Summer,Yes,No,Desserts,Tea,English,8,10,5,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",50,53,5,0,20,5,10,0,10,0.5,30,5,0,3,A lot,4,Graduate degree,Pop,Fly,Happy,Relative,"Wildlife, animals"
USA,CA,2013,10,Female,15,Right-Handed,166.5,24,166.5,1,Rail (Train/Tram/Subway),47,0.401,51,Golf,400,400,400,400,500,500,24,Same length,75,70,Index finger,May,Winter,Yes,Yes,Vegetables,Milk,Science,6.5,8,4,Yes - broadband connection,In person,1,2,5,0,28,2,9,0,1,1,10,1,0,1,A lot,4,Graduate degree,Pop,Fly,Happy,Relative,Health
USA,CA,2013,12,Female,16,Right-Handed,170.2,24,,2,Car,12,0.344,,Martial Arts,1000,1000,1000,900,900,1000,24,Left foot,75,73,Index finger,October,Fall,No,No,Meat,Water,Science,8,10,4,Yes - dial-up connection,"Myspace, Facebook, other social networking sites, or blog",50,41,5,1,15,1,20,3,10,4,28,3,0,4,A lot,4,Graduate degree,Pop,Super strength,Happy,Sports person,"Arts, culture, sports"
USA,CA,2014,12,Male,17,Right-Handed,185,26,191,1,Car,8,0.6,38,Swimming,1000,1000,1000,1000,1000,1000,26,Same length,77,80,Ring finger,March,Summer,No,No,Fruit,Water,Mathematics and statistics,5,9,3,Yes - broadband connection,Text messaging,20,100,,,,,,,,,,,,,A lot,4,Graduate degree,Rock and roll,Telepathy,Happy,Relative,Health
USA,CA,2012,12,Female,17,Right-Handed,152,22.8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2016,12,Female,17,Right-Handed,161,69,63,1,Car,5,0.386,15,Other,300,700,700,0,999,1000,25,Same length,75.9,74,Index finger,August,Fall,Yes,No,Rice/Noodle dishes,Tea,English,6,10,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",35,60,5,0,4,0,0,1,15,10,10000,5,0,1,A lot,4,Some college,Pop,Telepathy,Happy,Other,Education/Youth development
USA,CA,2019,12,Male,16,Right-Handed,168,22,168,2,Car,10,0.381,40,Soccer,1000,930,930,471,155,209,23,Left foot,70,81,Index finger,December,Spring,No,No,Pizza/Pasta,Water,Mathematics and statistics,6,8,6,Yes - other,"Myspace, Facebook, other social networking sites, or blog",0,0,3,1,14,15,10,1,6,2,8,0,0,1,Some,3,Graduate degree,Rap/Hip hop,Fly,Happy,Relative,Environment
USA,CA,2016,12,Male,17,Right-Handed,175,28,172,2,Bus,120,342,39,Basketball,,,,,,,29,Same length,85,85,Same length,September,Spring,No,No,Meat,Water,Mathematics and statistics,6,11,1,Yes - dial-up connection,In person,25,53,8,0,2,10,7,1,1,0.5,1,2,5,5,Very little,2,Graduate degree,Rap/Hip hop,Freeze time,Happy,,Health
USA,CA,2016,12,Female,16,Right-Handed,154,22.5,162,2,Car,5,0.391,46,Swimming,374,390,476,348,850,749,23,Left foot,70.3,70.4,Ring finger,November,Winter,No,No,Breads/Sandwiches,Water,History,6,10,5,Yes - broadband connection,Internet chat or instant messaging,30,30,35,2,60,10,0,0,76,76,80,0,0,0,Some,3,Graduate degree,Pop,Invisibility,Happy,Relative,Health
USA,CA,2016,12,Female,17,Right-Handed,172.7,24,172.7,4,Bus,30,0.392,56,Swimming,973,997,998,999,500,991,27.5,Same length,175,175,Same length,December,Winter,No,,No favorite,Sports drink,Languages,6,13,6,Yes - broadband connection,Internet chat or instant messaging,70,70,32,2,3,0,0,5,5,78,42,5,20,6,A lot,4,Graduate degree,Heavy metal,Freeze time,Happy,Friend,Environment
USA,CA,2018,12,Female,18,Right-Handed,170.1,24.13,149.8,1,Car,10,0.552,54,Other,900,900,500,500,1000,1000,24.76,Left foot,76.2,63.5,Ring finger,August,Summer,Yes,No,Pizza/Pasta,Water,History,7,10,4,Yes - other,Text messaging,28,28,20,3,13,5,10,0,17,3,4,7,5,2,A lot,4,Graduate degree,Pop,Invisibility,Happy,Relative,Health
USA,CA,2014,11,Male,17,Right-Handed,173.7,26.7,,2,Rail (Train/Tram/Subway),56,0.681,52,Other,867,902,948,902,609,969,26.1,Right foot,7.5,9.2,Ring finger,June,Winter,No,No,Rice/Noodle dishes,Water,Mathematics and statistics,7.5,6,5,Yes - dial-up connection,Text messaging,51,53,60,20,120,240,90,90,30,90,60,240,0,30,Some,3,Graduate degree,Punk rock,Freeze time,Happy,Actor,Education/Youth development
USA,CA,2019,9,Male,15,Right-Handed,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2017,11,Male,16,Ambidextrous,170,29,180,2,Car,30,0.215,30,Soccer,1000,1000,1000,1000,900,900,29,Same length,80,82,Ring finger,September,Fall,Yes,No,Meat,Water,Mathematics and statistics,8,12,3,Yes - broadband connection,In person,51,63,7,2,15,10,5,21,5,2,3,0,12,0,A lot,4,Graduate degree,Pop,Invisibility,Rich,Business person,Environment
USA,CA,2012,12,Male,18,Left-Handed,172,26,178,3,Car,15,0.498,54,Swimming,800,500,800,800,1000,1000,26,Same length,85,65,Index finger,May,Summer,No,No,Rice/Noodle dishes,Water,Social studies,8,8,4,Yes - broadband connection,E-mail,0,0,5,0.5,10,4,1,5,0.5,0.5,10,8,0,0.5,A lot,4,Graduate degree,Rock and roll,Fly,Happy,Relative,"Wildlife, animals"
USA,CA,2018,12,Female,17,Right-Handed,161,21.5,64.4,2,Car,10,0.469,33,Basketball,500,10,700,800,1000,1000,22.5,Left foot,70,60,Ring finger,May,Winter,Yes,No,Fruit,Water,English,5,9,4,Yes - broadband connection,Text messaging,400,1000,6,1.5,20,5,2,0,7,30,40,10,0,3,A lot,4,Undergraduate degree,Rhythm and blues (R&B),Fly,Happy,Actor,Education/Youth development
USA,CA,2016,12,Male,17,Left-Handed,180,19,120,1,Car,14,0.35,41,Running/Jogging,500,750,200,1000,900,900,19,Same length,82,81,Ring finger,August,Summer,No,No,No favorite,Water,Science,7,7,2,Yes - broadband connection,Text messaging,30,30,6,0.5,20,1,1,2,1,1,7,1,0,10,Some,3,Graduate degree,Punk rock,Freeze time,Happy,Business person,Environment
USA,CA,2017,12,Male,17,Right-Handed,178,26,152,1,Car,40,0.212,45,Basketball,500,800,1000,1000,1000,1000,25,Right foot,100,115,Ring finger,September,Fall,No,No,Poultry,Coffee,Computers and technology,5,2,3,Yes - broadband connection,In person,50,49,5,5,0,0,10,80,50,50,80,0,12,5,None,1,Graduate degree,Jazz,Fly,Rich,,Health
USA,CA,2017,12,Female,17,Ambidextrous,163.7,25.5,165,1,Rail (Train/Tram/Subway),25,0.306,33,Other,840,834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2021,12,Male,17,Right-Handed,180.3,26.2,72,1,Car,5,0.27,51,Football (American),727,727,1000,1000,305,476,26.2,Same length,7,7,Same length,November,Winter,No,No,Pizza/Pasta,Water,Physical education,7,10,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",20,25,10,5,4,5,15,2,12,15,5,1,0,2,Some,3,Graduate degree,Rap/Hip hop,Fly,Healthy,Sports person,Health
USA,CA,2014,11,Male,16,Right-Handed,173,26,175.3,1,Car,15,0.325,30,Baseball/Softball,647,465,866,342,460,1000,26,Same length,95,95,Ring finger,September,Winter,Yes,No,Meat,Water,Physical education,7,9,5,Yes - broadband connection,Text messaging,75,80,12,1,9,3,15,3,2,4,1,5,0,6,A lot,4,Graduate degree,Rap/Hip hop,Freeze time,Happy,Friend,"Arts, culture, sports"
USA,CA,2012,12,Female,18,Right-Handed,157,22.5,162.5,2,Car,20,0.333,35,Dancing,900,900,900,900,500,500,22.75,Left foot,89,97,Ring finger,September,Spring,Yes,No,Rice/Noodle dishes,Water,Mathematics and statistics,6,8,3,Yes - broadband connection,Text messaging,20,30,4,0,2.5,3,1,1,2,1,3,2,0,0,Some,3,Graduate degree,Rap/Hip hop,Freeze time,Happy,Business person,"Wildlife, animals"
